dataset,status,sender,receiver,n_samples,n_eligible_samples,n_eligible_donors,min_cells
"GSE134809","Inflamed","B_cell::ActB3","Endothelial",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","Epithelial",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","Mast",11,2,2,10
"GSE134809","Inflamed","B_cell::ActB3","Mesenchymal_stromal",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","Myeloid",11,6,6,10
"GSE134809","Inflamed","B_cell::ActB3","T_NK",11,6,6,10
"GSE134809","Inflamed","B_cell::CSM","Endothelial",11,10,10,10
"GSE134809","Inflamed","B_cell::CSM","Epithelial",11,9,9,10
"GSE134809","Inflamed","B_cell::CSM","Mast",11,6,6,10
"GSE134809","Inflamed","B_cell::CSM","Mesenchymal_stromal",11,10,10,10
"GSE134809","Inflamed","B_cell::CSM","Myeloid",11,10,10,10
"GSE134809","Inflamed","B_cell::CSM","T_NK",11,10,10,10
"GSE134809","Inflamed","B_cell::Centroblast B","Endothelial",11,4,4,10
"GSE134809","Inflamed","B_cell::Centroblast B","Epithelial",11,3,3,10
"GSE134809","Inflamed","B_cell::Centroblast B","Mast",11,3,3,10
"GSE134809","Inflamed","B_cell::Centroblast B","Mesenchymal_stromal",11,4,4,10
"GSE134809","Inflamed","B_cell::Centroblast B","Myeloid",11,4,4,10
"GSE134809","Inflamed","B_cell::Centroblast B","T_NK",11,4,4,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Endothelial",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Epithelial",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Mast",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Mesenchymal_stromal",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","Myeloid",11,1,1,10
"GSE134809","Inflamed","B_cell::Centrocyte B","T_NK",11,1,1,10
"GSE134809","Inflamed","B_cell::DN2","Endothelial",11,8,8,10
"GSE134809","Inflamed","B_cell::DN2","Epithelial",11,7,7,10
"GSE134809","Inflamed","B_cell::DN2","Mast",11,4,4,10
"GSE134809","Inflamed","B_cell::DN2","Mesenchymal_stromal",11,8,8,10
"GSE134809","Inflamed","B_cell::DN2","Myeloid",11,8,8,10
"GSE134809","Inflamed","B_cell::DN2","T_NK",11,8,8,10
"GSE134809","Inflamed","B_cell::IgM-only","Endothelial",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","Epithelial",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","Mast",11,1,1,10
"GSE134809","Inflamed","B_cell::IgM-only","Mesenchymal_stromal",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","Myeloid",11,4,4,10
"GSE134809","Inflamed","B_cell::IgM-only","T_NK",11,4,4,10
"GSE134809","Inflamed","B_cell::MZ","Endothelial",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","Epithelial",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","Mast",11,1,1,10
"GSE134809","Inflamed","B_cell::MZ","Mesenchymal_stromal",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","Myeloid",11,3,3,10
"GSE134809","Inflamed","B_cell::MZ","T_NK",11,3,3,10
"GSE134809","Inflamed","B_cell::Naïve B","Endothelial",11,9,9,10
"GSE134809","Inflamed","B_cell::Naïve B","Epithelial",11,8,8,10
"GSE134809","Inflamed","B_cell::Naïve B","Mast",11,5,5,10
"GSE134809","Inflamed","B_cell::Naïve B","Mesenchymal_stromal",11,9,9,10
"GSE134809","Inflamed","B_cell::Naïve B","Myeloid",11,9,9,10
"GSE134809","Inflamed","B_cell::Naïve B","T_NK",11,9,9,10
"GSE134809","Inflamed","Plasma::Activated plasma","Endothelial",11,8,8,10
"GSE134809","Inflamed","Plasma::Activated plasma","Epithelial",11,9,9,10
"GSE134809","Inflamed","Plasma::Activated plasma","Mast",11,5,5,10
"GSE134809","Inflamed","Plasma::Activated plasma","Mesenchymal_stromal",11,8,8,10
"GSE134809","Inflamed","Plasma::Activated plasma","Myeloid",11,9,9,10
"GSE134809","Inflamed","Plasma::Activated plasma","T_NK",11,9,9,10
"GSE134809","Inflamed","Plasma::IgA plasma","Endothelial",11,10,10,10
"GSE134809","Inflamed","Plasma::IgA plasma","Epithelial",11,10,10,10
"GSE134809","Inflamed","Plasma::IgA plasma","Mast",11,7,7,10
"GSE134809","Inflamed","Plasma::IgA plasma","Mesenchymal_stromal",11,10,10,10
"GSE134809","Inflamed","Plasma::IgA plasma","Myeloid",11,11,11,10
"GSE134809","Inflamed","Plasma::IgA plasma","T_NK",11,11,11,10
"GSE134809","Inflamed","Plasma::IgG plasma","Endothelial",11,9,9,10
"GSE134809","Inflamed","Plasma::IgG plasma","Epithelial",11,8,8,10
"GSE134809","Inflamed","Plasma::IgG plasma","Mast",11,5,5,10
"GSE134809","Inflamed","Plasma::IgG plasma","Mesenchymal_stromal",11,9,9,10
"GSE134809","Inflamed","Plasma::IgG plasma","Myeloid",11,9,9,10
"GSE134809","Inflamed","Plasma::IgG plasma","T_NK",11,9,9,10
"GSE134809","Inflamed","Plasma::Transitional B","Endothelial",11,3,3,10
"GSE134809","Inflamed","Plasma::Transitional B","Epithelial",11,3,3,10
"GSE134809","Inflamed","Plasma::Transitional B","Mast",11,2,2,10
"GSE134809","Inflamed","Plasma::Transitional B","Mesenchymal_stromal",11,3,3,10
"GSE134809","Inflamed","Plasma::Transitional B","Myeloid",11,3,3,10
"GSE134809","Inflamed","Plasma::Transitional B","T_NK",11,3,3,10
"GSE134809","Inflamed","Endothelial","B_cell::ActB3",11,6,6,10
"GSE134809","Inflamed","Endothelial","B_cell::CSM",11,10,10,10
"GSE134809","Inflamed","Endothelial","B_cell::Centroblast B",11,4,4,10
"GSE134809","Inflamed","Endothelial","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Inflamed","Endothelial","B_cell::DN2",11,8,8,10
"GSE134809","Inflamed","Endothelial","B_cell::IgM-only",11,4,4,10
"GSE134809","Inflamed","Endothelial","B_cell::MZ",11,3,3,10
"GSE134809","Inflamed","Endothelial","B_cell::Naïve B",11,9,9,10
"GSE134809","Inflamed","Endothelial","Plasma::Activated plasma",11,8,8,10
"GSE134809","Inflamed","Endothelial","Plasma::IgA plasma",11,10,10,10
"GSE134809","Inflamed","Endothelial","Plasma::IgG plasma",11,9,9,10
"GSE134809","Inflamed","Endothelial","Plasma::Transitional B",11,3,3,10
"GSE134809","Inflamed","Epithelial","B_cell::ActB3",11,6,6,10
"GSE134809","Inflamed","Epithelial","B_cell::CSM",11,9,9,10
"GSE134809","Inflamed","Epithelial","B_cell::Centroblast B",11,3,3,10
"GSE134809","Inflamed","Epithelial","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Inflamed","Epithelial","B_cell::DN2",11,7,7,10
"GSE134809","Inflamed","Epithelial","B_cell::IgM-only",11,4,4,10
"GSE134809","Inflamed","Epithelial","B_cell::MZ",11,3,3,10
"GSE134809","Inflamed","Epithelial","B_cell::Naïve B",11,8,8,10
"GSE134809","Inflamed","Epithelial","Plasma::Activated plasma",11,9,9,10
"GSE134809","Inflamed","Epithelial","Plasma::IgA plasma",11,10,10,10
"GSE134809","Inflamed","Epithelial","Plasma::IgG plasma",11,8,8,10
"GSE134809","Inflamed","Epithelial","Plasma::Transitional B",11,3,3,10
"GSE134809","Inflamed","Mast","B_cell::ActB3",11,2,2,10
"GSE134809","Inflamed","Mast","B_cell::CSM",11,6,6,10
"GSE134809","Inflamed","Mast","B_cell::Centroblast B",11,3,3,10
"GSE134809","Inflamed","Mast","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Inflamed","Mast","B_cell::DN2",11,4,4,10
"GSE134809","Inflamed","Mast","B_cell::IgM-only",11,1,1,10
"GSE134809","Inflamed","Mast","B_cell::MZ",11,1,1,10
"GSE134809","Inflamed","Mast","B_cell::Naïve B",11,5,5,10
"GSE134809","Inflamed","Mast","Plasma::Activated plasma",11,5,5,10
"GSE134809","Inflamed","Mast","Plasma::IgA plasma",11,7,7,10
"GSE134809","Inflamed","Mast","Plasma::IgG plasma",11,5,5,10
"GSE134809","Inflamed","Mast","Plasma::Transitional B",11,2,2,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::ActB3",11,6,6,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::CSM",11,10,10,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::Centroblast B",11,4,4,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::DN2",11,8,8,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::IgM-only",11,4,4,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::MZ",11,3,3,10
"GSE134809","Inflamed","Mesenchymal_stromal","B_cell::Naïve B",11,9,9,10
"GSE134809","Inflamed","Mesenchymal_stromal","Plasma::Activated plasma",11,8,8,10
"GSE134809","Inflamed","Mesenchymal_stromal","Plasma::IgA plasma",11,10,10,10
"GSE134809","Inflamed","Mesenchymal_stromal","Plasma::IgG plasma",11,9,9,10
"GSE134809","Inflamed","Mesenchymal_stromal","Plasma::Transitional B",11,3,3,10
"GSE134809","Inflamed","Myeloid","B_cell::ActB3",11,6,6,10
"GSE134809","Inflamed","Myeloid","B_cell::CSM",11,10,10,10
"GSE134809","Inflamed","Myeloid","B_cell::Centroblast B",11,4,4,10
"GSE134809","Inflamed","Myeloid","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Inflamed","Myeloid","B_cell::DN2",11,8,8,10
"GSE134809","Inflamed","Myeloid","B_cell::IgM-only",11,4,4,10
"GSE134809","Inflamed","Myeloid","B_cell::MZ",11,3,3,10
"GSE134809","Inflamed","Myeloid","B_cell::Naïve B",11,9,9,10
"GSE134809","Inflamed","Myeloid","Plasma::Activated plasma",11,9,9,10
"GSE134809","Inflamed","Myeloid","Plasma::IgA plasma",11,11,11,10
"GSE134809","Inflamed","Myeloid","Plasma::IgG plasma",11,9,9,10
"GSE134809","Inflamed","Myeloid","Plasma::Transitional B",11,3,3,10
"GSE134809","Inflamed","T_NK","B_cell::ActB3",11,6,6,10
"GSE134809","Inflamed","T_NK","B_cell::CSM",11,10,10,10
"GSE134809","Inflamed","T_NK","B_cell::Centroblast B",11,4,4,10
"GSE134809","Inflamed","T_NK","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Inflamed","T_NK","B_cell::DN2",11,8,8,10
"GSE134809","Inflamed","T_NK","B_cell::IgM-only",11,4,4,10
"GSE134809","Inflamed","T_NK","B_cell::MZ",11,3,3,10
"GSE134809","Inflamed","T_NK","B_cell::Naïve B",11,9,9,10
"GSE134809","Inflamed","T_NK","Plasma::Activated plasma",11,9,9,10
"GSE134809","Inflamed","T_NK","Plasma::IgA plasma",11,11,11,10
"GSE134809","Inflamed","T_NK","Plasma::IgG plasma",11,9,9,10
"GSE134809","Inflamed","T_NK","Plasma::Transitional B",11,3,3,10
"GSE134809","Non-inflamed","B_cell::ActB3","Endothelial",11,2,2,10
"GSE134809","Non-inflamed","B_cell::ActB3","Epithelial",11,2,2,10
"GSE134809","Non-inflamed","B_cell::ActB3","Mast",11,0,0,10
"GSE134809","Non-inflamed","B_cell::ActB3","Mesenchymal_stromal",11,2,2,10
"GSE134809","Non-inflamed","B_cell::ActB3","Myeloid",11,2,2,10
"GSE134809","Non-inflamed","B_cell::ActB3","T_NK",11,2,2,10
"GSE134809","Non-inflamed","B_cell::CSM","Endothelial",11,10,10,10
"GSE134809","Non-inflamed","B_cell::CSM","Epithelial",11,10,10,10
"GSE134809","Non-inflamed","B_cell::CSM","Mast",11,7,7,10
"GSE134809","Non-inflamed","B_cell::CSM","Mesenchymal_stromal",11,10,10,10
"GSE134809","Non-inflamed","B_cell::CSM","Myeloid",11,10,10,10
"GSE134809","Non-inflamed","B_cell::CSM","T_NK",11,10,10,10
"GSE134809","Non-inflamed","B_cell::Centroblast B","Endothelial",11,2,2,10
"GSE134809","Non-inflamed","B_cell::Centroblast B","Epithelial",11,2,2,10
"GSE134809","Non-inflamed","B_cell::Centroblast B","Mast",11,1,1,10
"GSE134809","Non-inflamed","B_cell::Centroblast B","Mesenchymal_stromal",11,2,2,10
"GSE134809","Non-inflamed","B_cell::Centroblast B","Myeloid",11,2,2,10
"GSE134809","Non-inflamed","B_cell::Centroblast B","T_NK",11,2,2,10
"GSE134809","Non-inflamed","B_cell::Centrocyte B","Endothelial",11,1,1,10
"GSE134809","Non-inflamed","B_cell::Centrocyte B","Epithelial",11,1,1,10
"GSE134809","Non-inflamed","B_cell::Centrocyte B","Mast",11,1,1,10
"GSE134809","Non-inflamed","B_cell::Centrocyte B","Mesenchymal_stromal",11,1,1,10
"GSE134809","Non-inflamed","B_cell::Centrocyte B","Myeloid",11,1,1,10
"GSE134809","Non-inflamed","B_cell::Centrocyte B","T_NK",11,1,1,10
"GSE134809","Non-inflamed","B_cell::DN2","Endothelial",11,4,4,10
"GSE134809","Non-inflamed","B_cell::DN2","Epithelial",11,4,4,10
"GSE134809","Non-inflamed","B_cell::DN2","Mast",11,1,1,10
"GSE134809","Non-inflamed","B_cell::DN2","Mesenchymal_stromal",11,4,4,10
"GSE134809","Non-inflamed","B_cell::DN2","Myeloid",11,4,4,10
"GSE134809","Non-inflamed","B_cell::DN2","T_NK",11,4,4,10
"GSE134809","Non-inflamed","B_cell::IgM-only","Endothelial",11,0,0,10
"GSE134809","Non-inflamed","B_cell::IgM-only","Epithelial",11,0,0,10
"GSE134809","Non-inflamed","B_cell::IgM-only","Mast",11,0,0,10
"GSE134809","Non-inflamed","B_cell::IgM-only","Mesenchymal_stromal",11,0,0,10
"GSE134809","Non-inflamed","B_cell::IgM-only","Myeloid",11,0,0,10
"GSE134809","Non-inflamed","B_cell::IgM-only","T_NK",11,0,0,10
"GSE134809","Non-inflamed","B_cell::MZ","Endothelial",11,1,1,10
"GSE134809","Non-inflamed","B_cell::MZ","Epithelial",11,1,1,10
"GSE134809","Non-inflamed","B_cell::MZ","Mast",11,0,0,10
"GSE134809","Non-inflamed","B_cell::MZ","Mesenchymal_stromal",11,1,1,10
"GSE134809","Non-inflamed","B_cell::MZ","Myeloid",11,1,1,10
"GSE134809","Non-inflamed","B_cell::MZ","T_NK",11,1,1,10
"GSE134809","Non-inflamed","B_cell::Naïve B","Endothelial",11,8,8,10
"GSE134809","Non-inflamed","B_cell::Naïve B","Epithelial",11,8,8,10
"GSE134809","Non-inflamed","B_cell::Naïve B","Mast",11,6,6,10
"GSE134809","Non-inflamed","B_cell::Naïve B","Mesenchymal_stromal",11,8,8,10
"GSE134809","Non-inflamed","B_cell::Naïve B","Myeloid",11,8,8,10
"GSE134809","Non-inflamed","B_cell::Naïve B","T_NK",11,8,8,10
"GSE134809","Non-inflamed","Plasma::Activated plasma","Endothelial",11,10,10,10
"GSE134809","Non-inflamed","Plasma::Activated plasma","Epithelial",11,11,11,10
"GSE134809","Non-inflamed","Plasma::Activated plasma","Mast",11,7,7,10
"GSE134809","Non-inflamed","Plasma::Activated plasma","Mesenchymal_stromal",11,10,10,10
"GSE134809","Non-inflamed","Plasma::Activated plasma","Myeloid",11,11,11,10
"GSE134809","Non-inflamed","Plasma::Activated plasma","T_NK",11,11,11,10
"GSE134809","Non-inflamed","Plasma::IgA plasma","Endothelial",11,10,10,10
"GSE134809","Non-inflamed","Plasma::IgA plasma","Epithelial",11,11,11,10
"GSE134809","Non-inflamed","Plasma::IgA plasma","Mast",11,7,7,10
"GSE134809","Non-inflamed","Plasma::IgA plasma","Mesenchymal_stromal",11,10,10,10
"GSE134809","Non-inflamed","Plasma::IgA plasma","Myeloid",11,11,11,10
"GSE134809","Non-inflamed","Plasma::IgA plasma","T_NK",11,11,11,10
"GSE134809","Non-inflamed","Plasma::IgG plasma","Endothelial",11,9,9,10
"GSE134809","Non-inflamed","Plasma::IgG plasma","Epithelial",11,9,9,10
"GSE134809","Non-inflamed","Plasma::IgG plasma","Mast",11,6,6,10
"GSE134809","Non-inflamed","Plasma::IgG plasma","Mesenchymal_stromal",11,9,9,10
"GSE134809","Non-inflamed","Plasma::IgG plasma","Myeloid",11,9,9,10
"GSE134809","Non-inflamed","Plasma::IgG plasma","T_NK",11,9,9,10
"GSE134809","Non-inflamed","Plasma::Transitional B","Endothelial",11,0,0,10
"GSE134809","Non-inflamed","Plasma::Transitional B","Epithelial",11,0,0,10
"GSE134809","Non-inflamed","Plasma::Transitional B","Mast",11,0,0,10
"GSE134809","Non-inflamed","Plasma::Transitional B","Mesenchymal_stromal",11,0,0,10
"GSE134809","Non-inflamed","Plasma::Transitional B","Myeloid",11,0,0,10
"GSE134809","Non-inflamed","Plasma::Transitional B","T_NK",11,0,0,10
"GSE134809","Non-inflamed","Endothelial","B_cell::ActB3",11,2,2,10
"GSE134809","Non-inflamed","Endothelial","B_cell::CSM",11,10,10,10
"GSE134809","Non-inflamed","Endothelial","B_cell::Centroblast B",11,2,2,10
"GSE134809","Non-inflamed","Endothelial","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Non-inflamed","Endothelial","B_cell::DN2",11,4,4,10
"GSE134809","Non-inflamed","Endothelial","B_cell::IgM-only",11,0,0,10
"GSE134809","Non-inflamed","Endothelial","B_cell::MZ",11,1,1,10
"GSE134809","Non-inflamed","Endothelial","B_cell::Naïve B",11,8,8,10
"GSE134809","Non-inflamed","Endothelial","Plasma::Activated plasma",11,10,10,10
"GSE134809","Non-inflamed","Endothelial","Plasma::IgA plasma",11,10,10,10
"GSE134809","Non-inflamed","Endothelial","Plasma::IgG plasma",11,9,9,10
"GSE134809","Non-inflamed","Endothelial","Plasma::Transitional B",11,0,0,10
"GSE134809","Non-inflamed","Epithelial","B_cell::ActB3",11,2,2,10
"GSE134809","Non-inflamed","Epithelial","B_cell::CSM",11,10,10,10
"GSE134809","Non-inflamed","Epithelial","B_cell::Centroblast B",11,2,2,10
"GSE134809","Non-inflamed","Epithelial","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Non-inflamed","Epithelial","B_cell::DN2",11,4,4,10
"GSE134809","Non-inflamed","Epithelial","B_cell::IgM-only",11,0,0,10
"GSE134809","Non-inflamed","Epithelial","B_cell::MZ",11,1,1,10
"GSE134809","Non-inflamed","Epithelial","B_cell::Naïve B",11,8,8,10
"GSE134809","Non-inflamed","Epithelial","Plasma::Activated plasma",11,11,11,10
"GSE134809","Non-inflamed","Epithelial","Plasma::IgA plasma",11,11,11,10
"GSE134809","Non-inflamed","Epithelial","Plasma::IgG plasma",11,9,9,10
"GSE134809","Non-inflamed","Epithelial","Plasma::Transitional B",11,0,0,10
"GSE134809","Non-inflamed","Mast","B_cell::ActB3",11,0,0,10
"GSE134809","Non-inflamed","Mast","B_cell::CSM",11,7,7,10
"GSE134809","Non-inflamed","Mast","B_cell::Centroblast B",11,1,1,10
"GSE134809","Non-inflamed","Mast","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Non-inflamed","Mast","B_cell::DN2",11,1,1,10
"GSE134809","Non-inflamed","Mast","B_cell::IgM-only",11,0,0,10
"GSE134809","Non-inflamed","Mast","B_cell::MZ",11,0,0,10
"GSE134809","Non-inflamed","Mast","B_cell::Naïve B",11,6,6,10
"GSE134809","Non-inflamed","Mast","Plasma::Activated plasma",11,7,7,10
"GSE134809","Non-inflamed","Mast","Plasma::IgA plasma",11,7,7,10
"GSE134809","Non-inflamed","Mast","Plasma::IgG plasma",11,6,6,10
"GSE134809","Non-inflamed","Mast","Plasma::Transitional B",11,0,0,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::ActB3",11,2,2,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::CSM",11,10,10,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::Centroblast B",11,2,2,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::DN2",11,4,4,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::IgM-only",11,0,0,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::MZ",11,1,1,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","B_cell::Naïve B",11,8,8,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","Plasma::Activated plasma",11,10,10,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","Plasma::IgA plasma",11,10,10,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","Plasma::IgG plasma",11,9,9,10
"GSE134809","Non-inflamed","Mesenchymal_stromal","Plasma::Transitional B",11,0,0,10
"GSE134809","Non-inflamed","Myeloid","B_cell::ActB3",11,2,2,10
"GSE134809","Non-inflamed","Myeloid","B_cell::CSM",11,10,10,10
"GSE134809","Non-inflamed","Myeloid","B_cell::Centroblast B",11,2,2,10
"GSE134809","Non-inflamed","Myeloid","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Non-inflamed","Myeloid","B_cell::DN2",11,4,4,10
"GSE134809","Non-inflamed","Myeloid","B_cell::IgM-only",11,0,0,10
"GSE134809","Non-inflamed","Myeloid","B_cell::MZ",11,1,1,10
"GSE134809","Non-inflamed","Myeloid","B_cell::Naïve B",11,8,8,10
"GSE134809","Non-inflamed","Myeloid","Plasma::Activated plasma",11,11,11,10
"GSE134809","Non-inflamed","Myeloid","Plasma::IgA plasma",11,11,11,10
"GSE134809","Non-inflamed","Myeloid","Plasma::IgG plasma",11,9,9,10
"GSE134809","Non-inflamed","Myeloid","Plasma::Transitional B",11,0,0,10
"GSE134809","Non-inflamed","T_NK","B_cell::ActB3",11,2,2,10
"GSE134809","Non-inflamed","T_NK","B_cell::CSM",11,10,10,10
"GSE134809","Non-inflamed","T_NK","B_cell::Centroblast B",11,2,2,10
"GSE134809","Non-inflamed","T_NK","B_cell::Centrocyte B",11,1,1,10
"GSE134809","Non-inflamed","T_NK","B_cell::DN2",11,4,4,10
"GSE134809","Non-inflamed","T_NK","B_cell::IgM-only",11,0,0,10
"GSE134809","Non-inflamed","T_NK","B_cell::MZ",11,1,1,10
"GSE134809","Non-inflamed","T_NK","B_cell::Naïve B",11,8,8,10
"GSE134809","Non-inflamed","T_NK","Plasma::Activated plasma",11,11,11,10
"GSE134809","Non-inflamed","T_NK","Plasma::IgA plasma",11,11,11,10
"GSE134809","Non-inflamed","T_NK","Plasma::IgG plasma",11,9,9,10
"GSE134809","Non-inflamed","T_NK","Plasma::Transitional B",11,0,0,10
"JCI2024","Stricture","B_cell::ActB3","Endothelial",6,3,3,10
"JCI2024","Stricture","B_cell::ActB3","Epithelial",6,3,3,10
"JCI2024","Stricture","B_cell::ActB3","Mast",6,3,3,10
"JCI2024","Stricture","B_cell::ActB3","Mesenchymal_stromal",6,3,3,10
"JCI2024","Stricture","B_cell::ActB3","Myeloid",6,3,3,10
"JCI2024","Stricture","B_cell::ActB3","T_NK",6,3,3,10
"JCI2024","Stricture","B_cell::CSM","Endothelial",6,6,6,10
"JCI2024","Stricture","B_cell::CSM","Epithelial",6,6,6,10
"JCI2024","Stricture","B_cell::CSM","Mast",6,6,6,10
"JCI2024","Stricture","B_cell::CSM","Mesenchymal_stromal",6,6,6,10
"JCI2024","Stricture","B_cell::CSM","Myeloid",6,6,6,10
"JCI2024","Stricture","B_cell::CSM","T_NK",6,6,6,10
"JCI2024","Stricture","B_cell::Centroblast B","Endothelial",6,2,2,10
"JCI2024","Stricture","B_cell::Centroblast B","Epithelial",6,2,2,10
"JCI2024","Stricture","B_cell::Centroblast B","Mast",6,2,2,10
"JCI2024","Stricture","B_cell::Centroblast B","Mesenchymal_stromal",6,2,2,10
"JCI2024","Stricture","B_cell::Centroblast B","Myeloid",6,2,2,10
"JCI2024","Stricture","B_cell::Centroblast B","T_NK",6,2,2,10
"JCI2024","Stricture","B_cell::Centrocyte B","Endothelial",6,0,0,10
"JCI2024","Stricture","B_cell::Centrocyte B","Epithelial",6,0,0,10
"JCI2024","Stricture","B_cell::Centrocyte B","Mast",6,0,0,10
"JCI2024","Stricture","B_cell::Centrocyte B","Mesenchymal_stromal",6,0,0,10
"JCI2024","Stricture","B_cell::Centrocyte B","Myeloid",6,0,0,10
"JCI2024","Stricture","B_cell::Centrocyte B","T_NK",6,0,0,10
"JCI2024","Stricture","B_cell::DN2","Endothelial",6,6,6,10
"JCI2024","Stricture","B_cell::DN2","Epithelial",6,6,6,10
"JCI2024","Stricture","B_cell::DN2","Mast",6,6,6,10
"JCI2024","Stricture","B_cell::DN2","Mesenchymal_stromal",6,6,6,10
"JCI2024","Stricture","B_cell::DN2","Myeloid",6,6,6,10
"JCI2024","Stricture","B_cell::DN2","T_NK",6,6,6,10
"JCI2024","Stricture","B_cell::IgM-only","Endothelial",6,4,4,10
"JCI2024","Stricture","B_cell::IgM-only","Epithelial",6,4,4,10
"JCI2024","Stricture","B_cell::IgM-only","Mast",6,4,4,10
"JCI2024","Stricture","B_cell::IgM-only","Mesenchymal_stromal",6,4,4,10
"JCI2024","Stricture","B_cell::IgM-only","Myeloid",6,4,4,10
"JCI2024","Stricture","B_cell::IgM-only","T_NK",6,4,4,10
"JCI2024","Stricture","B_cell::MZ","Endothelial",6,1,1,10
"JCI2024","Stricture","B_cell::MZ","Epithelial",6,1,1,10
"JCI2024","Stricture","B_cell::MZ","Mast",6,1,1,10
"JCI2024","Stricture","B_cell::MZ","Mesenchymal_stromal",6,1,1,10
"JCI2024","Stricture","B_cell::MZ","Myeloid",6,1,1,10
"JCI2024","Stricture","B_cell::MZ","T_NK",6,1,1,10
"JCI2024","Stricture","B_cell::Naïve B","Endothelial",6,6,6,10
"JCI2024","Stricture","B_cell::Naïve B","Epithelial",6,6,6,10
"JCI2024","Stricture","B_cell::Naïve B","Mast",6,6,6,10
"JCI2024","Stricture","B_cell::Naïve B","Mesenchymal_stromal",6,6,6,10
"JCI2024","Stricture","B_cell::Naïve B","Myeloid",6,6,6,10
"JCI2024","Stricture","B_cell::Naïve B","T_NK",6,6,6,10
"JCI2024","Stricture","Plasma::Activated plasma","Endothelial",6,6,6,10
"JCI2024","Stricture","Plasma::Activated plasma","Epithelial",6,6,6,10
"JCI2024","Stricture","Plasma::Activated plasma","Mast",6,6,6,10
"JCI2024","Stricture","Plasma::Activated plasma","Mesenchymal_stromal",6,6,6,10
"JCI2024","Stricture","Plasma::Activated plasma","Myeloid",6,6,6,10
"JCI2024","Stricture","Plasma::Activated plasma","T_NK",6,6,6,10
"JCI2024","Stricture","Plasma::IgA plasma","Endothelial",6,6,6,10
"JCI2024","Stricture","Plasma::IgA plasma","Epithelial",6,6,6,10
"JCI2024","Stricture","Plasma::IgA plasma","Mast",6,6,6,10
"JCI2024","Stricture","Plasma::IgA plasma","Mesenchymal_stromal",6,6,6,10
"JCI2024","Stricture","Plasma::IgA plasma","Myeloid",6,6,6,10
"JCI2024","Stricture","Plasma::IgA plasma","T_NK",6,6,6,10
"JCI2024","Stricture","Plasma::IgG plasma","Endothelial",6,6,6,10
"JCI2024","Stricture","Plasma::IgG plasma","Epithelial",6,6,6,10
"JCI2024","Stricture","Plasma::IgG plasma","Mast",6,6,6,10
"JCI2024","Stricture","Plasma::IgG plasma","Mesenchymal_stromal",6,6,6,10
"JCI2024","Stricture","Plasma::IgG plasma","Myeloid",6,6,6,10
"JCI2024","Stricture","Plasma::IgG plasma","T_NK",6,6,6,10
"JCI2024","Stricture","Plasma::Transitional B","Endothelial",6,0,0,10
"JCI2024","Stricture","Plasma::Transitional B","Epithelial",6,0,0,10
"JCI2024","Stricture","Plasma::Transitional B","Mast",6,0,0,10
